,timestamp,atividade,resposta,energia,dia_semana,hora,streak,repeticoes_total
0,2025-02-01 09:00:00,trabalho_focado_25min,rejeitou,1,5,9,0,0
1,2025-02-01 13:00:00,revisar_flashcards,completou,3,5,13,1,1
2,2025-02-01 14:00:00,trabalho_focado_25min,completou,1,5,14,1,1
3,2025-02-01 15:00:00,pausa_cafe,completou,1,5,15,1,1
4,2025-02-01 17:00:00,responder_emails,completou,3,5,17,1,1
5,2025-02-01 20:00:00,estudar_teoria,parcialmente,5,5,20,0,0
6,2025-02-02 08:00:00,revisar_flashcards,completou,2,6,8,2,2
7,2025-02-02 10:00:00,reuniao,adiou,1,6,10,0,0
8,2025-02-02 15:00:00,pausa_cafe,completou,1,6,15,2,2
9,2025-02-02 16:00:00,alongamento,completou,3,6,16,1,1
10,2025-02-02 18:00:00,revisar_flashcards,completou,3,6,18,3,3
11,2025-02-02 20:00:00,fazer_exercicios,rejeitou,4,6,20,0,0
12,2025-02-03 09:00:00,trabalho_focado_25min,completou,1,0,9,2,2
13,2025-02-03 12:00:00,meditacao,completou,3,0,12,1,1
14,2025-02-03 15:00:00,pausa_cafe,completou,1,0,15,3,3
15,2025-02-03 16:00:00,alongamento,completou,4,0,16,2,2
16,2025-02-03 19:00:00,estudar_teoria,completou,5,0,19,1,1
17,2025-02-03 22:00:00,revisar_flashcards,completou,4,0,22,4,4
18,2025-02-04 09:00:00,estudar_teoria,completou,1,1,9,2,2
19,2025-02-04 10:00:00,reuniao,completou,1,1,10,1,1
20,2025-02-04 11:00:00,reuniao,parcialmente,1,1,11,0,1
21,2025-02-04 15:00:00,reuniao,adiou,2,1,15,0,1
22,2025-02-04 18:00:00,revisar_flashcards,completou,5,1,18,5,5
23,2025-02-04 22:00:00,meditacao,completou,5,1,22,2,2
24,2025-02-05 13:00:00,alongamento,completou,3,2,13,3,3
25,2025-02-05 15:00:00,estudar_teoria,ignorou,1,2,15,0,2
26,2025-02-05 17:00:00,responder_emails,completou,4,2,17,2,2
27,2025-02-05 18:00:00,exercicio_fisico,completou,3,2,18,1,1
28,2025-02-05 19:00:00,exercicio_fisico,completou,5,2,19,2,2
29,2025-02-05 20:00:00,estudar_teoria,completou,4,2,20,1,3
30,2025-02-06 12:00:00,meditacao,completou,3,3,12,3,3
31,2025-02-06 13:00:00,almoco,completou,3,3,13,1,1
32,2025-02-06 14:00:00,reuniao,ignorou,2,3,14,0,1
33,2025-02-06 16:00:00,trabalho_focado_25min,completou,3,3,16,3,3
34,2025-02-06 18:00:00,revisar_flashcards,completou,4,3,18,6,6
35,2025-02-06 22:00:00,meditacao,completou,5,3,22,4,4
36,2025-02-07 11:00:00,reuniao,completou,1,4,11,1,2
37,2025-02-07 12:00:00,almoco,completou,4,4,12,2,2
38,2025-02-07 14:00:00,assistir_aula,rejeitou,1,4,14,0,0
39,2025-02-07 16:00:00,reuniao,adiou,3,4,16,0,2
40,2025-02-07 17:00:00,responder_emails,completou,3,4,17,3,3
41,2025-02-07 21:00:00,alongamento,completou,5,4,21,4,4
42,2025-02-08 07:00:00,meditacao,completou,3,5,7,5,5
43,2025-02-08 12:00:00,almoco,completou,3,5,12,3,3
44,2025-02-08 13:00:00,revisar_flashcards,completou,3,5,13,7,7
45,2025-02-08 14:00:00,trabalho_focado_25min,rejeitou,1,5,14,0,3
46,2025-02-08 18:00:00,exercicio_fisico,parcialmente,3,5,18,0,2
47,2025-02-08 22:00:00,meditacao,completou,5,5,22,6,6
48,2025-02-09 11:00:00,reuniao,adiou,1,6,11,0,2
49,2025-02-09 12:00:00,meditacao,adiou,2,6,12,0,6
50,2025-02-09 14:00:00,trabalho_focado_25min,adiou,1,6,14,0,3
51,2025-02-09 15:00:00,estudar_teoria,completou,1,6,15,2,4
52,2025-02-09 17:00:00,responder_emails,completou,2,6,17,4,4
53,2025-02-09 19:00:00,assistir_aula,completou,4,6,19,1,1
54,2025-02-10 08:00:00,revisar_flashcards,completou,2,0,8,8,8
55,2025-02-10 10:00:00,fazer_exercicios,rejeitou,1,0,10,0,0
56,2025-02-10 12:00:00,almoco,parcialmente,3,0,12,0,3
57,2025-02-10 14:00:00,trabalho_focado_25min,completou,1,0,14,1,4
58,2025-02-10 16:00:00,trabalho_focado_25min,ignorou,3,0,16,0,4
59,2025-02-10 22:00:00,meditacao,completou,4,0,22,1,7
60,2025-02-11 09:00:00,estudar_teoria,parcialmente,1,1,9,0,4
61,2025-02-11 10:00:00,reuniao,adiou,1,1,10,0,2
62,2025-02-11 11:00:00,reuniao,ignorou,1,1,11,0,2
63,2025-02-11 14:00:00,estudar_teoria,completou,2,1,14,1,5
64,2025-02-11 20:00:00,fazer_exercicios,completou,5,1,20,1,1
65,2025-02-11 21:00:00,alongamento,completou,5,1,21,5,5
66,2025-02-12 08:00:00,revisar_flashcards,completou,3,2,8,9,9
67,2025-02-12 12:00:00,meditacao,completou,3,2,12,2,8
68,2025-02-12 13:00:00,almoco,parcialmente,3,2,13,0,3
69,2025-02-12 14:00:00,trabalho_focado_25min,adiou,1,2,14,0,4
70,2025-02-12 16:00:00,fazer_exercicios,ignorou,3,2,16,0,1
71,2025-02-12 22:00:00,revisar_flashcards,completou,5,2,22,10,10
72,2025-02-13 10:00:00,pausa_cafe,completou,2,3,10,4,4
73,2025-02-13 14:00:00,trabalho_focado_25min,adiou,1,3,14,0,4
74,2025-02-13 17:00:00,responder_emails,completou,5,3,17,5,5
75,2025-02-13 19:00:00,assistir_aula,adiou,5,3,19,0,1
76,2025-02-13 20:00:00,estudar_teoria,completou,5,3,20,2,6
77,2025-02-13 21:00:00,alongamento,completou,5,3,21,6,6
78,2025-02-14 10:00:00,assistir_aula,ignorou,2,4,10,0,1
79,2025-02-14 12:00:00,meditacao,completou,3,4,12,3,9
80,2025-02-14 16:00:00,alongamento,completou,3,4,16,7,7
81,2025-02-14 19:00:00,estudar_teoria,parcialmente,5,4,19,0,6
82,2025-02-14 21:00:00,alongamento,parcialmente,5,4,21,0,7
83,2025-02-14 22:00:00,revisar_flashcards,completou,5,4,22,11,11
84,2025-02-15 07:00:00,exercicio_fisico,parcialmente,4,5,7,0,2
85,2025-02-15 08:00:00,alongamento,parcialmente,4,5,8,0,7
86,2025-02-15 13:00:00,revisar_flashcards,completou,2,5,13,12,12
87,2025-02-15 16:00:00,alongamento,adiou,4,5,16,0,7
88,2025-02-15 19:00:00,assistir_aula,completou,5,5,19,1,2
89,2025-02-15 22:00:00,meditacao,completou,5,5,22,4,10
90,2025-02-16 10:00:00,pausa_cafe,completou,2,6,10,5,5
91,2025-02-16 12:00:00,almoco,completou,2,6,12,1,4
